"primary_project","project_id",stream,"stream_id"
"10029863_Ford_ADAS_IFV300_Host",10002,"10029863_Ford_ADAS_IFV300_Host",10001
"10029903_CMA_CIDD",10004,"10029903_CMA_CIDD",10003
"10029863_Ford_ADAS_EyeQ3",10021,"10029863_Ford_ADAS_EyeQ3",10029
"10028883_GM_SRR_CSAV2_DSP",10006,"10028883_GM_SRR_CSAV2_DSP",10006
"IDIMDFBB_mdf_xsal",10203,"IDIMDFBB_mdf_xsal_host",10142
"10028883_GM_SRR_CSAV2_ARM",10010,"10028883_GM_SRR_CSAV2_ARM",10010
"12345678_dmg",10083,"12345678_dmg_bubble",10073
"IDIMDFBB_mdf_dbg_trace",10205,"IDIMDFBB_mdf_dbg_trace_host",10143
"10028795_aa1223aa_IVE_Lowline",10014,"10028795_aa1223aa_IVE_Lowline_host",10015
"10028883_GM_SRR_CSAV2_Host",10005,"10028883_GM_SRR_CSAV2_Host_RSRR",10016
"10028883_GM_SRR_CSAV2_Host",10005,"10028883_GM_SRR_CSAV2_Host_LRSRR",10017
"10028883_GM_SRR_CSAV2_Host",10005,"10028883_GM_SRR_CSAV2_Host_LFSRR",10018
"10028883_GM_SRR_CSAV2_Host",10005,"10028883_GM_SRR_CSAV2_Host_RFSRR",10019
"10028883_GM_SRR_CSAV2_Host",10005,"10028883_GM_SRR_CSAV2_Host_RRSRR",10020
"IDIMDFBB_mdf_gtest_xsal_framework",10207,"IDIMDFBB_mdf_gtest_xsal_framework_host",10144
"10027776_VW_MIB_2B_STD_HKP",11327,"10027776_VW_MIB_2B_STD_HKP_J5",10900
"10028883_GM_SRR_CSAV2_PBL",10020,"10028883_GM_SRR_CSAV2_PBL_Boot",10026
"10028883_GM_SRR_CSAV2_PBL",10020,"10028883_GM_SRR_CSAV2_PBL_Reprogrammer",10027
"10028883_GM_SRR_CSAV2_PBL",10020,"10028883_GM_SRR_CSAV2_PBL_Utility",10028
"IDIMDFBB_mdf_gtest",10212,"IDIMDFBB_mdf_gtest_qnx",10148
"10030150_FIAT_FL139BT_HKP",11342,"10030150_FIAT_FL139BT_HKP",10901
"IDIMDFBB_mdf_gtest",10212,"IDIMDFBB_mdf_gtest_host",10149
"IDIMDFBB_mdf_vp2_pits",10172,"IDIMDFBB_mdf_vp2_pits_qnx",10126
"IDIMDFBB_mdf_vp2_diag_interface",10174,"IDIMDFBB_mdf_vp2_diag_interface_qnx",10127
"IDIMDFBB_mdf_xsal",10203,"IDIMDFBB_mdf_xsal_qnx",10150
"10029128_SGM_LNGI_E2LB",10217,"10029128_SGM_LNGI_E2LB_all",10151
"10028677_SM_40",11040,"10028677_SM_40_6_2",10681
"10023691_MY17_B1_Cluster_GP",10153,"10023691_MY17_B1_Cluster_GP_all",10112
"IDIMDFBB_mdf_ASR_manager",10179,"IDIMDFBB_mdf_ASR_manager_qnx_j6",10130
"10029903_CMA_CIDD",10004,"10029903_CMA_CIDD_MISRA",10152
"IDIMDFBB_mdf_vp2_proxi_interface",11162,"IDIMDFBB_mdf_vp2_proxi_interface_host",10763
"IDIMDFBB_mdf_gtest_xsal_framework",10207,"IDIMDFBB_mdf_gtest_xsal_framework_qnx",10153
