id,name
10731,"High Impact Outstanding"
11292,"All Tests"
36533,"All Tests"
11293,"Currently Failing"
11294,"Project Lifetime"
11296,"In Latest Snapshot"
11297,"Uncovered By Tests"
29374,"All Tests"
29310,"Outstanding Security Risks"
11302,"High Impact Outstanding"
11304,"Outstanding Security Risks"
10726,"All In Project"
11305,"Outstanding Test Rules Violations"
45028,"All Tests"
10011,"Uncovered By Tests"
11295,"All In Project"
11310,"With Untriaged Issues"
11312,"High Issue Density (>1)"
11313,"All In Project"
34832,"All Hierarchies"
36534,"Currently Failing"
45029,"Currently Failing"
11308,"All Projects"
50851,"All Tests"
11327,"Outstanding Defects"
10803,"Outstanding Untriaged"
11311,"With Outstanding Issues"
11309,"All In Project"
11301,"Outstanding Untriaged"
11315,"All Hierarchies"
12408,"All Tests"
13464,"All In Project"
11316,"All Tests"
11317,"Currently Failing"
11318,"Project Lifetime"
11319,"All In Project"
11320,"In Latest Snapshot"
11321,"Uncovered By Tests"
29375,"Currently Failing"
27119,"High CCM (>15)"
29376,"Project Lifetime"
30346,"All In Project"
11325,"Outstanding Untriaged"
11326,"High Impact Outstanding"
11328,"Outstanding Security Risks"
11329,"Outstanding Test Rules Violations"
11331,"All In Project"
11333,"All In Project"
11334,"With Untriaged Issues"
11335,"With Outstanding Issues"
11336,"High Issue Density (>1)"
11337,"All In Project"
11338,"All In Project"
11339,"All Hierarchies"
11332,"All Projects"
12130,"All Tests"
34876,"All In Project"
12131,"Currently Failing"
12132,"Project Lifetime"
12133,"All In Project"
12134,"In Latest Snapshot"
12135,"Uncovered By Tests"
29377,"All In Project"
33160,"With Outstanding Issues"
12127,"IoHwAb Issues"
60916,"All Tests"
12136,"In Latest Snapshot"
34417,"All Tests"
12139,"Outstanding Untriaged"
60917,"Currently Failing"
63927,"All In Project"
12142,"Outstanding Security Risks"
12143,"Outstanding Test Rules Violations"
12409,"Currently Failing"
67795,"All Tests"
45030,"Project Lifetime"
12146,"All Projects"
67796,"Currently Failing"
12148,"With Untriaged Issues"
12149,"With Outstanding Issues"
12151,"All In Project"
12152,"All In Project"
12410,"Project Lifetime"
10102,"All In Project"
